"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V22.1","V23.1","V24.1"
"1","miRNA_ID","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin","Skin"
"12","hsa-let-7i","3870.112715","888.647726","768.893828","839.135423","1702.459559","4626.483513","596.937501","1563.456135","933.143925","1044.579448","1003.007702","1363.866444","357.948019","1401.397433","1492.381255","911.947428","881.952703","1499.82111","2109.851629","998.11869","1261.053549","839.713954","739.702242","1423.116581","1488.141566","1254.043095","2115.903483","1969.12775","524.915112","1222.740579","2217.269285","586.352337","418.698514","1610.16152","1401.890532","2906.732827","1359.021804","980.889209","1429.217904","983.033624","1199.245437","598.948192","1214.630221","880.445775","1291.866544","372.940105"
"13","hsa-mir-100","11.871511","28.893505","21.209592","155.593405","19.751944","10.935467","32.421526","325.414904","288.74877","126.423756","35.503236","220.866688","8.536493","20.15067","304.791408","55.083397","61.192754","106.014254","53.011347","29.986398","63.834879","32.748374","8.221038","446.252731","24654.33398","1436.334081","629.701415","3860.590177","243.457561","11103.30248","19654.23142","7018.851346","4969.896876","1774.868701","527.900595","2249.297273","4519.122123","174386.7541","2882.309158","5883.932726","4482.06344","164176.7121","4276.51057","102367.6853","2800.894026","6767.86467"
"14","hsa-mir-101-1","386.363734","16264.82086","11301.02405","26168.98948","20004.76891","270.262248","16197.70617","15053.75754","6702.985329","24785.13662","10303.03911","6476.60805","6165.452906","15495.10306","16409.00889","15818.30011","14177.94011","33873.75325","2044.723402","12854.49584","25409.1591","15074.31834","20148.42606","2965.087545","2063.722346","2189.869535","1814.927552","7150.02843","4659.507211","1849.816001","2487.104438","1138.099788","676.595563","4043.263615","2163.820704","1390.197297","6281.009169","488.976607","6642.096568","1525.256422","2548.008612","2728.406325","3250.516103","1690.826046","4803.43852","2334.589085"
"15","hsa-mir-101-2","437.087465","16398.25214","11511.55231","26334.48069","20159.78217","243.704686","16472.48227","15225.38987","6864.473058","25080.801","10471.30794","6764.262012","6197.026237","16075.33345","16613.96788","16180.21918","14327.84617","34140.07804","2088.64709","13088.26735","25783.717","15272.35206","20305.9641","2940.313148","2109.300573","2243.367977","1823.999522","7275.313368","4849.829193","1905.970323","2561.370994","1123.693461","673.033063","4078.784802","2102.835798","1383.046077","6397.142711","480.435531","6701.514684","1524.746814","2590.727965","2713.16979","3279.04151","1683.555097","4842.229271","2373.080976"
"16","hsa-mir-103a-1","24283.71617","23286.86231","22752.45178","47428.07665","56760.76651","38117.13135","18486.72456","25685.80848","39791.47858","52391.37248","42111.95706","52814.67352","23336.31643","52677.12004","27421.58381","33333.00773","48858.36662","24983.41916","24208.01047","30538.51533","42168.42231","29472.79882","26694.66663","22817.5325","17743.87776","10387.21776","17847.2323","13570.73979","39263.0063","19752.53683","24192.33058","25393.89793","29667.52097","20301.6483","43735.70666","23118.94292","25485.1169","11015.71945","27223.57711","32229.64155","19492.62188","4266.839266","26571.41635","20319.65734","10813.09002","40151.19487"
"17","hsa-mir-103a-2","24357.1037","23343.19315","22759.09131","47373.04489","56838.82619","37886.70544","18527.06809","25882.15587","39712.91278","52531.98407","42250.83251","53249.96251","23346.49006","52694.3298","27487.94968","33326.96568","48929.59628","25144.94302","23617.3126","30627.37298","42260.6682","29586.88127","26825.05612","22855.79169","17767.78765","10468.65427","17746.90699","13667.39627","39549.93843","19833.88716","24413.89247","25454.93916","29735.69744","20460.7991","43535.9811","23233.36245","25485.69324","10995.16749","27503.69109","32272.44861","19764.45571","4315.748544","26476.63838","20474.33025","10873.6305","40088.58565"
"18","hsa-mir-103b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.134215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","hsa-mir-103b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","hsa-mir-105-1","0","0","0","4.9489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","484.198326","0.249061","9.312692","116.334668","663.556652","15.135589","1.355839","212.072276","580.708622","0.488971","916.010054","81.567312","0.476748","586.142992","397.293493","0","1164.454034","5.841963","456.943685","396.595171","542.016168","31.279247","2045.979762"
"21","hsa-mir-105-2","0","0","0","6.334592","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","502.387123","1.494368","7.52941","93.387922","638.896495","13.203386","0.903893","213.722644","581.599735","0.419118","946.967066","81.186156","0","589.024717","400.629851","0.530519","1144.579326","6.75477","446.735207","377.731595","543.999154","30.494463","2012.43911"
